"timestamp","symbol","reason","event_side","event_entry_price","event_target_margin","event_quantity","event_stop_price","event_tp1_price","event_ema_macd_signal_bars_ago","event_ema_bb_signal_bars_ago","close","ema10","ema30","ema30_1h","ema_cross","macd_cross","macd_zone","macd_hist","bb_break","bb_width_expand"
"2026-02-24T22:00:00","SOLUSDT","EMA_BB","LONG","79.37889","137.94708077","6.95132324","77.6748","85.6008","","0.0","79.26","78.58329267275046","78.11629246314531","78.09647573073936","NONE","GOLDEN","ABOVE_ZERO","0.006916973282945549","UPPER","True"
"2026-02-26T14:15:00","SOLUSDT","EMA_MACD","LONG","87.9317","132.96982045","6.04877742","86.044","94.824","0.0","","87.8","87.66905934495153","87.6616494501744","86.47470801016175","GOLDEN","NONE","ABOVE_ZERO","0.07506799135867262","NONE","False"
"2026-02-27T00:30:00","SOLUSDT","EMA_BB","SHORT","85.261915","129.45402775","6.07324045","87.0978","78.5588","","0.0","85.39","85.82465789718911","86.0137068225943","86.19196598768576","NONE","NONE","BELOW_ZERO","-0.041559644492828965","LOWER","True"
"2026-02-27T16:30:00","SOLUSDT","EMA_BB","SHORT","81.4776","131.03880889","6.43312071","83.83200496","73.44","","0.0","81.6","82.44651743010198","83.5872049551561","85.47641853341017","NONE","NONE","BELOW_ZERO","0.030664929993657886","LOWER","True"
"2026-03-02T07:00:00","SOLUSDT","EMA_BB","SHORT","82.51604","129.86772674","6.29539308","84.2928","76.0288","","0.0","82.64","83.64275410417996","84.0075865208795","84.15350361291989","NONE","NONE","BELOW_ZERO","-0.2080378349686969","LOWER","True"
"2026-03-02T13:45:00","SOLUSDT","EMA_BB","SHORT","82.95538","128.12536815","6.17803779","84.7416","76.4336","","0.0","83.08","83.4725491726509","83.6238423353795","83.97644812671207","NONE","NONE","BELOW_ZERO","-0.06309767219750116","LOWER","True"
"2026-03-03T14:30:00","SOLUSDT","EMA_BB","SHORT","82.85553","130.79764294","6.31449188","84.6596802","76.26127921","","0.0","82.98","83.80741218404974","84.41074019770092","85.26313928944192","NONE","DEAD","BELOW_ZERO","-0.04374301707778161","LOWER","True"
"2026-03-03T23:00:00","SOLUSDT","EMA_BB","LONG","87.220635","129.01167605","5.9165667","85.03959512","95.29161954","","0.0","87.09","85.86581815776427","85.30086511560383","85.2100166383049","NONE","NONE","ABOVE_ZERO","0.19917717883179176","UPPER","True"
"2026-03-05T09:15:00","SOLUSDT","EMA_MACD","LONG","91.487025","128.15692942","5.60328328","89.523","98.658","0.0","","91.35","90.69014086165488","90.60559936898619","89.86868047847194","GOLDEN","NONE","ABOVE_ZERO","0.11736641246645911","NONE","True"
"2026-03-06T01:15:00","SOLUSDT","EMA_BB","SHORT","88.02776","128.03053942","5.81773474","89.9232","81.1072","","0.0","88.16","88.73481181919718","89.02467576789154","89.69282496106116","NONE","NONE","BELOW_ZERO","-0.0493104153567725","LOWER","True"
"2026-03-06T09:15:00","SOLUSDT","EMA_BB","SHORT","87.199005","126.31301707","5.79424121","89.0766","80.3436","","0.0","87.33","88.09526185310465","88.30365097122193","89.14602372064158","NONE","DEAD","BELOW_ZERO","-0.04138693635443534","LOWER","True"
"2026-03-08T02:15:00","SOLUSDT","EMA_BB","SHORT","82.63586","125.84131209","6.09136576","84.4152","76.1392","","0.0","82.76","83.00233693032217","83.16038974879419","84.17141430408297","NONE","DEAD","BELOW_ZERO","-0.00857010895157434","LOWER","True"
"2026-03-08T12:00:00","SOLUSDT","EMA_MACD+EMA_BB","SHORT","81.93691","123.90942291","6.04901615","83.7012","75.4952","0.0","0.0","82.06","82.92786338644837","82.96407160683759","83.50658951889494","DEAD","NONE","BELOW_ZERO","-0.1205779055815036","LOWER","True"
"2026-03-08T22:00:00","SOLUSDT","EMA_MACD","SHORT","81.168065","123.21824953","6.07225265","82.9158","74.7868","0.0","","81.29","82.00146797808519","82.07139173252129","82.80793787084858","DEAD","DEAD","BELOW_ZERO","-0.02937276903241462","NONE","True"
"2026-03-10T00:30:00","SOLUSDT","EMA_MACD","LONG","85.918685","121.49022462","5.65605605","84.0742","92.6532","0.0","","85.79","85.52130364914434","85.4872865933595","84.32269192648687","GOLDEN","NONE","ABOVE_ZERO","-0.0839388518444701","NONE","False"
"2026-03-11T11:30:00","SOLUSDT","EMA_BB","SHORT","84.4731","116.29571541","5.5068757","86.292","77.832","","0.0","84.6","85.1119030660632","85.44121010010213","85.89634993291126","NONE","NONE","BELOW_ZERO","-0.03645590884214234","LOWER","True"
"2026-03-13T08:30:00","SOLUSDT","EMA_MACD","LONG","89.39389","113.78722222","5.09149886","87.4748","96.4008","0.0","","89.26","88.8111250589789","88.76492304262084","87.53716042639783","GOLDEN","NONE","ABOVE_ZERO","-0.036732784093739215","NONE","False"
"2026-03-14T06:15:00","SOLUSDT","EMA_BB","SHORT","87.42866","114.2808882","5.22853207","89.3112","80.5552","","0.0","87.56","88.10584946465372","88.30094872139206","88.52196158455449","NONE","NONE","BELOW_ZERO","-0.05266913820631931","LOWER","True"
